serial_number,thumbprint,subject_cn,issuer_cn,Reason
B383658885E271129A43D19DE40C1FC6,EF234051B4B83086B675FF58ACA85678544C14DA39DBDF4D4FA9D5F16E654E2F,Elekon,Sectigo RSA Code Signing CA,Gozi
CA7D54577243934F665FD1D443855A3D,2EA2C7625C1A42FFF63F0B17CFC4FD0C0F76D7EB45A86B18EC9A630D3D8AD913,FABO SP Z O O,Sectigo RSA Code Signing CA,IcedID
030012F134E64347669F3256C7D050C5,20C6F1FBE36B8FC089E56FAF57AFD2B61E551E7A02DDE618516BC2D3F3FF8219,Futumarket LLC,DigiCert EV Code Signing CA ,RedLineStealer
7709D2DF39E9A4F7DB2F3CBC29B49743,04349BA0F4D74F46387CEE8A13EE72AB875032B4396D6903A6E9E7F047426DE8,Grina LLC,Sectigo RSA Code Signing CA,RaccoonStealer
186D49FAC34CE99775B8E7FFBF50679D,812A80556775D658450362E1B3650872B91DEBA44FEF28F17C9364ADD5AA398E,Hairis LLC,Sectigo RSA Code Signing CA,Quakbot
97DF46ACB26B7C81A13CC467B47688C8,54C4929195FAFDDFD333871471A015FA68092F44E2F262F2BBF4EE980B41B809,Information Civilized System Oy,Sectigo RSA Code Signing CA,ParallaxRAT
2A52ACB34BD075AC9F58771D2A4BBFBA,C839065A159BEC7E63BFDCB1794889829853C07F7A931666F4EB84103302C1C9,Katarzyna Galganek mim e coc,Sectigo RSA Code Signing CA,CobaltStrike
5A9D897077A22AFE7AD4C4A01DF6C418,50FA9D22557354A078767CB61F93DE9ABE491E3A8CB69C280796C7C20EABD5B9,Klarens LLC,Sectigo RSA Code Signing CA,BazaLoader
D7C432E8D4EDEF515BFB9D1C214FF0F5,6256D3CA79330F7BD912A88E59F9A4F3BDEBDCD6B9C55CDA4E733E26583B3D61,LLC ,Sectigo RSA Code Signing CA,Quakbot
85E1AF2BE0F380E5A5D11513DDF45FC6,E9849101535B47FF2A67E4897113C06F024D33F575BAA5B426352F15116B98B4,Makke Digital Works,Sectigo RSA Code Signing CA,Shiotob
02AA497D39320FC979AD96160D90D410,33E8E72A75D6F424C5A10D2B771254C07A7D9C138E5FEA703117FE60951427AE,MATCHLESS GIFTS,Sectigo RSA Code Signing CA,Egregor Ransomware
0BAB6A2AA84B495D9E554A4C42C0126D,E6FA7B4756B41B8EC049237B96A8C1DF2ADA4582E440A63D8FC3B0787C3EFEB8,NOSOV SP Z O O,DigiCert EV Code Signing CA ,BazaLoader
